lucode,code,nlud_simple_class,nlud_simple_subclass,simple_nlud,nlcd,nlcd_lulc,nlcd_colors,tree,tree_canopy_cover,tree_colors,LULC_name,C_above,C_below,C_soil,C_dead,C_embedded,C_emissions
106,002312,Waterbody,Wetland,2,31,Barren Land (Rock/Sand/Clay),#B2ADA3,2,medium,#a1d99b,Barren Land,41.858659804,0.0,56.814636128000004,4.266666666666667,0.0,0.0
107,002313,Waterbody,Wetland,2,31,Barren Land (Rock/Sand/Clay),#B2ADA3,3,high,#31a354,Barren Land,64.64678867660001,0.0,77.16914961120001,7.04,0.0,0.0
108,002410,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,0,none,#ffffff,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
109,002411,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,1,low,#e5f5e0,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
110,002412,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,2,medium,#a1d99b,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
111,002413,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,3,high,#31a354,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
112,002420,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,0,none,#ffffff,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
113,002421,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,1,low,#e5f5e0,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
114,002422,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,2,medium,#a1d99b,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
115,002423,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,3,high,#31a354,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
116,002430,Waterbody,Wetland,2,43,Mixed Forest,#B5C98E,0,none,#ffffff,Mixed Forest,91.76997429,0.0,119.1798855,8.8,0.0,0.0
117,002431,Waterbody,Wetland,2,43,Mixed Forest,#B5C98E,1,low,#e5f5e0,Mixed Forest,91.76997429,0.0,119.1798855,8.8,0.0,0.0
118,002432,Waterbody,Wetland,2,43,Mixed Forest,#B5C98E,2,medium,#a1d99b,Mixed Forest,91.76997429,0.0,119.1798855,8.8,0.0,0.0
119,002433,Waterbody,Wetland,2,43,Mixed Forest,#B5C98E,3,high,#31a354,Mixed Forest,91.76997429,0.0,119.1798855,8.8,0.0,0.0
120,002510,Waterbody,Wetland,2,51,Dwarf Scrub,#A58C30,0,none,#ffffff,,0.0,0.0,0.0,0.0,0.0,0.0
121,002511,Waterbody,Wetland,2,51,Dwarf Scrub,#A58C30,1,low,#e5f5e0,,0.0,0.0,0.0,0.0,0.0,0.0
122,002512,Waterbody,Wetland,2,51,Dwarf Scrub,#A58C30,2,medium,#a1d99b,,0.0,0.0,0.0,0.0,0.0,0.0
123,002513,Waterbody,Wetland,2,51,Dwarf Scrub,#A58C30,3,high,#31a354,,0.0,0.0,0.0,0.0,0.0,0.0
124,002520,Waterbody,Wetland,2,52,Scrub/Shrub,#CCBA7C,0,none,#ffffff,Shrub/Scrub,47.875,0.0,68.15477645,0.0,0.0,0.0
125,002521,Waterbody,Wetland,2,52,Scrub/Shrub,#CCBA7C,1,low,#e5f5e0,Shrub/Scrub,54.8607474265,0.0,73.4995485305,1.5999999999999999,0.0,0.0
126,002522,Waterbody,Wetland,2,52,Scrub/Shrub,#CCBA7C,2,medium,#a1d99b,Shrub/Scrub,66.503659804,0.0,82.40750199800001,4.266666666666667,0.0,0.0
127,002523,Waterbody,Wetland,2,52,Scrub/Shrub,#CCBA7C,3,high,#31a354,Shrub/Scrub,78.6122886766,0.0,91.67177360420001,7.04,0.0,0.0
128,002710,Waterbody,Wetland,2,71,Grassland/Herbaceous,#E2E2C1,0,none,#ffffff,Herbaceuous,10.10660117,8.0,98.79264417,0.0,0.0,0.0
129,002711,Waterbody,Wetland,2,71,Grassland/Herbaceous,#E2E2C1,1,low,#e5f5e0,Herbaceuous,22.757608421,6.8,99.5417360925,1.5999999999999999,0.0,0.0
130,002712,Waterbody,Wetland,2,71,Grassland/Herbaceous,#E2E2C1,2,medium,#a1d99b,Herbaceuous,43.842620506,4.8,100.79022263,4.266666666666667,0.0,0.0
131,002713,Waterbody,Wetland,2,71,Grassland/Herbaceous,#E2E2C1,3,high,#31a354,Herbaceuous,65.77103307440001,2.7199999999999998,102.088648629,7.04,0.0,0.0
132,002720,Waterbody,Wetland,2,72,Sedge/Herbaceuous,#C9C977,0,none,#ffffff,,0.0,0.0,0.0,0.0,0.0,0.0
133,002721,Waterbody,Wetland,2,72,Sedge/Herbaceuous,#C9C977,1,low,#e5f5e0,,0.0,0.0,0.0,0.0,0.0,0.0
134,002722,Waterbody,Wetland,2,72,Sedge/Herbaceuous,#C9C977,2,medium,#a1d99b,,0.0,0.0,0.0,0.0,0.0,0.0
135,002723,Waterbody,Wetland,2,72,Sedge/Herbaceuous,#C9C977,3,high,#31a354,,0.0,0.0,0.0,0.0,0.0,0.0
136,002730,Waterbody,Wetland,2,73,Lichens,#99C147,0,none,#ffffff,,0.0,0.0,0.0,0.0,0.0,0.0
137,002731,Waterbody,Wetland,2,73,Lichens,#99C147,1,low,#e5f5e0,,0.0,0.0,0.0,0.0,0.0,0.0
138,002732,Waterbody,Wetland,2,73,Lichens,#99C147,2,medium,#a1d99b,,0.0,0.0,0.0,0.0,0.0,0.0
139,002733,Waterbody,Wetland,2,73,Lichens,#99C147,3,high,#31a354,,0.0,0.0,0.0,0.0,0.0,0.0
140,002740,Waterbody,Wetland,2,74,Moss,#77AD93,0,none,#ffffff,,0.0,0.0,0.0,0.0,0.0,0.0
141,002741,Waterbody,Wetland,2,74,Moss,#77AD93,1,low,#e5f5e0,,0.0,0.0,0.0,0.0,0.0,0.0
142,002742,Waterbody,Wetland,2,74,Moss,#77AD93,2,medium,#a1d99b,,0.0,0.0,0.0,0.0,0.0,0.0
143,002743,Waterbody,Wetland,2,74,Moss,#77AD93,3,high,#31a354,,0.0,0.0,0.0,0.0,0.0,0.0
144,002810,Waterbody,Wetland,2,81,Pasture/Hay,#DBD83D,0,none,#ffffff,Hay/Pasture,10.10660117,8.0,98.79264417,0.0,0.0,0.0
145,002811,Waterbody,Wetland,2,81,Pasture/Hay,#DBD83D,1,low,#e5f5e0,Hay/Pasture,22.757608421,6.8,99.5417360925,1.5999999999999999,0.0,0.0
146,002812,Waterbody,Wetland,2,81,Pasture/Hay,#DBD83D,2,medium,#a1d99b,Hay/Pasture,43.842620506,4.8,100.79022263,4.266666666666667,0.0,0.0
147,002813,Waterbody,Wetland,2,81,Pasture/Hay,#DBD83D,3,high,#31a354,Hay/Pasture,65.77103307440001,2.7199999999999998,102.088648629,7.04,0.0,0.0
148,002820,Waterbody,Wetland,2,82,Cultivated Crops,#AA7028,0,none,#ffffff,Cultivated Crops,4.793840162,0.0,65.75263422,0.0,0.0,0.0
149,002821,Waterbody,Wetland,2,82,Cultivated Crops,#AA7028,1,low,#e5f5e0,Cultivated Crops,18.2417615642,0.0,71.457727635,1.5999999999999999,0.0,0.0
150,002822,Waterbody,Wetland,2,82,Cultivated Crops,#AA7028,2,medium,#a1d99b,Cultivated Crops,40.6549639012,0.0,80.96621666000001,4.266666666666667,0.0,0.0
151,002823,Waterbody,Wetland,2,82,Cultivated Crops,#AA7028,3,high,#31a354,Cultivated Crops,63.96469433168001,0.0,90.855045246,7.04,0.0,0.0
152,002900,Waterbody,Wetland,2,90,Woody Wetlands,#BAD8EA,0,none,#ffffff,Woody Wetlands,33.5,0.0,716.9138542,0.0,0.0,0.0
153,002901,Waterbody,Wetland,2,90,Woody Wetlands,#BAD8EA,1,low,#e5f5e0,Woody Wetlands,42.6419974265,0.0,624.9447646179999,1.5999999999999999,0.0,0.0
154,002902,Waterbody,Wetland,2,90,Woody Wetlands,#BAD8EA,2,medium,#a1d99b,Woody Wetlands,57.878659803999994,0.0,471.66294864799994,4.266666666666667,0.0,0.0
155,002903,Waterbody,Wetland,2,90,Woody Wetlands,#BAD8EA,3,high,#31a354,Woody Wetlands,73.7247886766,0.0,312.2498600392,7.04,0.0,0.0
